特征,特征重要性值
MDEC-23,0.21133052853604384
C1SP2,0.058762889415904795
LipoaffinityIndex,0.04316864635458298
maxssO,0.037845071974287776
maxHsOH,0.0346503037113864
minsssN,0.03431332449025474
minHsOH,0.02757549041810717
SHsOH,0.017738145457634948
BCUTc-1l,0.012502273244383388
minsOH,0.011784402014801165
MLogP,0.011410078168140632
nC,0.01020353663338433
MDEC-33,0.009684901269461725
SHBint10,0.009065298717193453
maxsssCH,0.00905668950769294
CrippenLogP,0.008316332267892907
TopoPSA,0.008135790825731263
VC-5,0.007433296375104003
nHBAcc,0.007383677962432308
ETA_Shape_Y,0.007259607960362152
nHBAcc_Lipinski,0.006600877665168844
minHBint5,0.006288564200876695
minHBa,0.006228392836066779
hmin,0.005978593570726431
minssO,0.005783889941237168
ETA_BetaP_s,0.005522821939893008
MLFER_A,0.005248788711176094
MDEO-12,0.005088426236153905
minHBint10,0.005084621672261401
BCUTp-1h,0.004491024283525751
BCUTc-1h,0.004428175327794054
maxHBint5,0.004331296071096911
WTPT-5,0.004281095441418999
ATSc3,0.004232499670659993
mindssC,0.0040902085183820444
SdssC,0.004075334802441204
VCH-5,0.004008104687717182
ATSc2,0.004007862383761368
XLogP,0.003948803309967289
maxHBd,0.0039197275826723995
minHssNH,0.003893410626084206
SsOH,0.0037300183116673845
MAXDP2,0.0037283624712893407
C3SP2,0.0037254717867115606
SCH-7,0.0035724124559271355
MLFER_S,0.003417005126828634
SaaCH,0.003387032645452644
ndssC,0.0032079312989567997
BCUTp-1l,0.0031721713863920977
VPC-6,0.003080502209112448
bpol,0.0029630012396919497
WTPT-4,0.002962057362468398
ETA_Epsilon_4,0.002929729318627147
ATSc5,0.002859866306480628
SPC-6,0.0028539227051041726
SHBd,0.002851801982861355
maxsOH,0.002724734456319382
ATSc4,0.0027066573406265117
WTPT-3,0.0026849540996706314
ALogP,0.0026593039308697355
Kier3,0.00264848432579056
VP-5,0.002636391778410034
minHBint6,0.002575659583457663
mindO,0.002564921434319728
MDEC-22,0.002552421776515168
SwHBa,0.002540607370694758
SC-5,0.0024875030266008594
maxdssC,0.0024868953143126196
MLFER_BH,0.0024333020145776096
VCH-7,0.0024120102070204767
maxHCsats,0.0023887541795052964
MAXDP,0.002370177193942452
ECCEN,0.0023364911731937974
gmin,0.002234490938468138
minssCH2,0.002150462971923691
ETA_dEpsilon_D,0.00210876474175185
ETA_Epsilon_5,0.0020830404905955694
ETA_EtaP_F,0.0020666417162930727
gmax,0.0020496060299366433
hmax,0.002049478929989036
SP-7,0.002047760205686743
SHBint6,0.002027996452029227
SaasC,0.00202695838318056
VP-7,0.002022022444700096
MLFER_BO,0.002021352482723613
minHBd,0.0019597023767741967
minaaCH,0.0019318086418828972
WTPT-2,0.001920674822576994
maxaasC,0.0018961493391755565
maxHBint10,0.0018881256470377064
ETA_Shape_P,0.0018805119044162577
SP-6,0.0018735225551206895
MDEC-13,0.0018544833106938325
minsCH3,0.0018435461366194186
SHCsats,0.0018346445218782085
ATSc1,0.0018018014078633035
MAXDN2,0.0018010252777006775
nAtomP,0.0017875214835958771
VC-3,0.0017345270588644086
sumI,0.0017288742377978583
maxHBint8,0.0017215300342912573
MAXDN,0.001714906316833522
SPC-5,0.001680378876759346
ETA_BetaP_ns_d,0.0016740400012700992
minsssCH,0.0016528274998664956
SC-3,0.0016389508552788797
ALogp2,0.0016289649507345233
ETA_EtaP_B,0.0016023131035177158
minHCsats,0.001595965717659422
SP-5,0.0015739970756075625
SCH-6,0.001572491523823633
MDEO-11,0.0015668930403822884
minssNH,0.0015343765977127992
ETA_EtaP_B_RC,0.0015293244560182875
MLFER_E,0.001520276627158453
SCH-5,0.0015161061138976874
SHaaCH,0.001498296454426323
DELS,0.0014686294995690714
ETA_dEpsilon_B,0.0014529587557362783
SPC-4,0.0014466198098825377
maxsCH3,0.001445711625767743
nBondsD2,0.0014343320614184467
SsssCH,0.001433026031134021
nAtomLAC,0.0014269837432562252
SHother,0.0014246310295948379
minaasC,0.0014173834473978368
SHBint7,0.0014078466638447894
maxHBa,0.0013981894310480085
ATSp5,0.0013658958280208392
minHother,0.0013653839908854663
maxwHBa,0.0012955816296094146
minHBint9,0.0012941458280706867
minwHBa,0.0012905651294639513
SHdsCH,0.001287788478293316
SdO,0.001269978529844014
VCH-6,0.0012536628156037534
maxHBint7,0.0012339918040570374
PetitjeanNumber,0.0012241532796467512
minHBint7,0.0012212836758762429
ATSm1,0.0012162917973991428
SsssN,0.0012143697491293292
SsCH3,0.0012128280959260375
maxaaCH,0.0012041695067196527
SssO,0.0011662826041987742
minHBint4,0.0011174284994251145
ETA_dAlpha_B,0.0010925034090026981
ETA_Eta_B,0.0010907199133533554
minHaaCH,0.0010706982962829421
MDEC-24,0.001067152715554379
SHBa,0.0010538769920336842
VPC-5,0.0010537889328792404
ETA_Eta_F,0.001049807974005112
ETA_EtaP_F_L,0.001046514371163094
maxHaaCH,0.0010429841544320163
minHBint8,0.0010384074444624715
SHBint5,0.0010200780025465133
MLFER_L,0.0010183788424715657
ATSp1,0.0010173741874459602
VPC-4,0.0010141775099283602
ETA_Epsilon_2,0.0010097509730697322
maxHBint6,0.0009918422363048964
VP-6,0.0009917565982894337
maxssCH2,0.0009835784448266548
SHCsatu,0.0009768177633058823
fragC,0.0009682648834290237
VP-3,0.0009669400156061105
maxsssN,0.0009583971482251674
VP-4,0.0009549142879041988
BCUTw-1l,0.0009480208929146797
Kier2,0.0009463669603267126
SssCH2,0.0009313994871277354
FMF,0.0009285660717488059
DELS2,0.0009213604978445174
ETA_EtaP,0.0009168228853109852
minHBint2,0.0009167888286138284
BCUTw-1h,0.0009158628546328538
nBondsS2,0.0009096724805516674
ATSm5,0.0009092618491241251
ETA_Beta,0.0009022163763619332
VABC,0.0009014071355302696
SHBint8,0.0009009152781976567
ETA_Epsilon_1,0.0008970435365076964
minHdsCH,0.0008965697742586727
ETA_AlphaP,0.0008909729264939929
SP-4,0.0008832184961619455
ETA_dEpsilon_C,0.0008818428413246989
nBase,0.0008786626496686926
ETA_Eta_B_RC,0.0008773358313782274
ETA_BetaP,0.0008643923183891254
ETA_dBeta,0.000858773836084468
maxHother,0.0008555452127808559
ETA_dBetaP,0.0008438460927379547
nRotB,0.0008423537571215513
ETA_Eta_F_L,0.0008414190770205021
SsF,0.0008395926250949935
nAtomLC,0.0008365710211403403
minHCsatu,0.0008278095489114938
MDEC-12,0.0008104879178529358
ETA_Eta,0.0007808041222866269
maxHdsCH,0.0007686796353638097
ATSm2,0.0007677983636743557
MDEO-22,0.0007658399593932603
maxaaaC,0.0007574022206230768
nHBint10,0.0007442229911815529
MW,0.0007275001082703163
ATSm3,0.0007051316147299531
maxHCsatu,0.0007032686217421714
WPOL,0.0006786156384492605
ETA_Alpha,0.0006775208066592791
maxHBint9,0.0006742690820657927
SP-2,0.0006713080407619969
nwHBa,0.0006680702515798924
ATSm4,0.0006659973206298397
ETA_Eta_R,0.0006608859711594108
AMR,0.0006569119952818171
minsF,0.0006492777641220331
VP-2,0.0006403902230283933
SaaS,0.0006386242538463645
maxdO,0.0006368437024448148
ATSp4,0.0006343906702419377
WPATH,0.0006337704085647949
SHBint4,0.0006326328212193022
ETA_Epsilon_3,0.0006288249105173432
nBondsS,0.0006221222937207116
CrippenMR,0.0006119832752339168
ETA_EtaP_L,0.0006117170208236237
SHaaNH,0.0006020529822983189
nH,0.0005954298926076802
ETA_BetaP_ns,0.0005927798756846311
SHBint2,0.0005836013474234898
SHBint9,0.0005710127324859291
nssCH2,0.0005610831324862816
minaaS,0.0005541642744318417
ATSp2,0.0005457693344067948
nHBint6,0.0005408016600851332
SP-0,0.0005337069654529476
SP-3,0.0005333770447414219
ETA_dEpsilon_A,0.0005297804629690477
ATSp3,0.0005266469443383859
apol,0.0005252287061242467
ETA_Eta_L,0.0005224150528132857
WTPT-1,0.0005214790931066235
maxdS,0.0005206868999144973
SC-4,0.0005192314230789936
mindsN,0.0005157781588134566
nBondsS3,0.0005086606252809316
MDEN-23,0.0005031349642529872
SdsCH,0.0004983514247190549
ETA_dPsi_A,0.0004910145748632681
nFG12Ring,0.0004826540774944894
nHBAcc2,0.00047836669433688446
nAromBond,0.00047506673631319396
HybRatio,0.0004738905231266574
maxaaN,0.0004353397849888622
